,exchange,uptake,growth
87,EX_nh4_e,10,True
88,EX_no2_e,10,False
89,EX_no3_e,10,False
90,EX_urea_e,10,False
99,EX_gly_e,10,True
115,EX_orn_e,10,True
116,EX_etha_e,10,False
117,EX_ptrc_e,10,True
118,EX_agm_e,10,False
119,EX_peamn_e,10,False
120,EX_tym_e,10,False
121,EX_gam_e,10,True
122,EX_acgam_e,10,True
123,EX_acgal_e,10,False
124,EX_acmana_e,10,False
125,EX_ade_e,10,False
126,EX_adn_e,10,True
127,EX_cytd_e,10,True
128,EX_csn_e,10,True
129,EX_gua_e,10,False
130,EX_gsn_e,10,True
131,EX_thym_e,10,False
132,EX_thymd_e,10,False
133,EX_ura_e,10,False
134,EX_uri_e,10,False
135,EX_ins_e,10,False
136,EX_xan_e,10,False
137,EX_xtsn_e,10,False
138,EX_alltn_e,10,False
